N,P,K,temperature,humidity,ph,rainfall,label
92,74,67,19.51022225,68.9815947,6.45,472.1411276,Cabbage
105,83,69,20.83027412,72.38742146,6.44,499.0993274,Cabbage
91,63,69,16.38673313,67.32903102,6.12,468.7014514,Cabbage
114,66,65,18.06189993,61.38869814,6.14,420.8045903,Cabbage
107,67,71,20.87426433,86.13844119,6.77,430.2377701,Cabbage
97,65,68,18.60088931,78.35276947,6.94,467.6718981,Cabbage
109,63,65,16.90222704,85.94210636,6.75,457.6805973,Cabbage
105,62,75,19.37651341,79.93719565,6.64,453.2982336,Cabbage
104,77,69,19.35387712,79.22089738,6.59,410.3775894,Cabbage
102,72,68,18.87938242,70.44873708,6.54,496.0441433,Cabbage
106,77,67,19.61813245,88.80224646,6.24,432.6662076,Cabbage
81,60,71,17.66713726,66.36526557,6.82,435.5255117,Cabbage
106,83,72,17.43146511,83.60972659,6.69,455.0106192,Cabbage
103,65,72,17.52070339,76.77257096,6.23,453.1197567,Cabbage
95,62,73,18.22515843,84.27619439,6.45,460.0877195,Cabbage
110,66,71,19.77630331,67.8823558,6.76,443.1069548,Cabbage
100,61,70,18.73763564,67.15646467,6.29,460.7976101,Cabbage
95,63,74,16.52711582,83.93644368,6.13,447.4369384,Cabbage
113,85,75,17.78655028,62.11730812,6.34,445.5749225,Cabbage
88,77,72,20.98518268,75.72436019,6.41,458.9407713,Cabbage
91,79,73,18.16596517,71.89863264,6.12,445.9590868,Cabbage
86,69,74,19.25104692,81.43054878,6.78,462.3575271,Cabbage
84,76,67,18.34041403,69.3251098,6.39,435.1142415,Cabbage
87,83,71,17.12829965,89.31613413,6.38,462.6924415,Cabbage
120,66,72,20.26664676,73.85331658,6.56,443.2635212,Cabbage
102,67,75,19.25809942,62.30907106,6.52,474.4327672,Cabbage
107,82,68,18.80282874,72.84793527,6.75,478.9851733,Cabbage
111,65,71,16.90305045,67.71019294,6.03,458.2229621,Cabbage
101,84,72,18.24071002,75.56150707,6.12,405.97845,Cabbage
86,78,70,18.00489179,66.07460252,6.36,460.1075573,Cabbage
102,77,70,18.08850547,61.27239148,6.19,447.4745746,Cabbage
94,79,71,20.06347307,75.25922422,6.11,487.1763786,Cabbage
106,61,74,18.80530632,65.50631803,6.06,497.7134387,Cabbage
82,85,65,16.0581817,73.92828242,6.91,489.3417727,Cabbage
91,81,65,18.40462398,84.5145451,6.09,433.0509829,Cabbage
83,75,72,19.67460257,66.92814541,6.21,418.276085,Cabbage
106,78,68,16.70383752,80.91460997,6.02,417.0971139,Cabbage
97,81,70,18.50290951,60.67673564,6.26,477.6097712,Cabbage
118,84,74,20.27466968,67.20213139,6.04,472.7245355,Cabbage
115,74,69,17.73508909,76.19719722,6.47,471.7795795,Cabbage
104,63,71,20.95647792,67.76135747,6.91,424.6863837,Cabbage
112,82,66,17.69023122,67.50291577,6.51,434.9451415,Cabbage
115,67,73,16.79159154,82.42900774,6.03,404.6331673,Cabbage
91,84,72,19.50870478,76.04322132,6.14,432.8954446,Cabbage
85,79,74,20.0061312,78.59603275,6.65,415.810036,Cabbage
90,68,66,16.42245057,79.85139332,6.31,449.4124934,Cabbage
99,80,74,16.22052457,67.48589888,6.62,426.0814353,Cabbage
108,78,69,20.13045956,64.94914162,6.29,438.6419872,Cabbage
107,83,69,19.70943202,78.18277802,6.32,484.1262609,Cabbage
116,68,68,19.25915058,60.85596142,6.24,409.0658995,Cabbage
108,79,74,16.89509354,81.66150852,6.54,468.8744324,Cabbage
90,64,75,18.36410194,63.6295948,6.96,456.638429,Cabbage
114,69,71,18.90301257,64.57884768,6.1,459.6391149,Cabbage
118,80,66,18.76899755,85.33255771,6.47,440.106557,Cabbage
103,82,67,18.65497166,88.8754371,6.37,426.4100382,Cabbage
97,79,68,16.93179941,69.25580275,6.95,443.8421583,Cabbage
96,67,75,17.5623548,82.20393608,6.89,497.9454403,Cabbage
105,73,75,17.86649649,74.52648102,6.84,466.9344139,Cabbage
118,65,69,20.1209805,76.93233308,6.5,485.265159,Cabbage
71,72,45,13.98498281,85.05062478,6.75,132.4823533,Cauliflower
64,73,49,16.6689901,85.03559428,6.58,134.927471,Cauliflower
62,87,46,12.47614996,83.81054085,6.87,120.6105097,Cauliflower
63,70,55,12.49201734,87.91191546,6.28,125.8266983,Cauliflower
82,82,48,14.20036284,87.04414179,6.28,133.1267718,Cauliflower
74,70,54,17.71437912,89.86186309,6.49,124.4641265,Cauliflower
81,68,50,15.34978675,86.36344456,6.52,130.9565347,Cauliflower
66,81,52,12.73385105,84.1004012,6.33,134.0808526,Cauliflower
63,89,54,16.74406989,89.32202836,6.1,125.0510685,Cauliflower
71,71,55,17.20289511,84.94311694,6.38,128.3311472,Cauliflower
73,84,49,15.79308769,80.79063402,6.49,124.4971673,Cauliflower
67,73,53,12.47175102,89.63560599,6.08,127.7435697,Cauliflower
64,84,55,15.72004519,80.54897042,6.81,128.9539112,Cauliflower
89,73,51,15.23094703,86.67769744,6.22,130.8862938,Cauliflower
68,79,50,14.89637846,85.51487061,6.43,123.5829197,Cauliflower
68,76,53,14.69528652,87.30634855,6.06,122.0271282,Cauliflower
94,68,49,16.90067425,89.60281809,6.28,133.1467479,Cauliflower
100,84,47,17.04838612,88.03582077,6.56,122.6537953,Cauliflower
77,85,54,16.18337759,86.52858935,6.5,120.6272352,Cauliflower
78,66,45,15.49414374,89.28367285,6.91,130.3444229,Cauliflower
91,79,51,17.62192998,89.36468641,6.52,133.7458028,Cauliflower
73,70,53,16.19077682,84.56148845,6.45,122.8676268,Cauliflower
76,79,51,13.49087192,85.50652309,6.08,124.3053476,Cauliflower
84,83,50,15.08024958,83.50894324,6.35,134.5479393,Cauliflower
94,81,51,12.78214002,82.72208751,6.63,125.0907868,Cauliflower
75,70,50,13.74894072,82.52477739,6.92,130.7469267,Cauliflower
95,83,46,13.36606084,85.89271733,6.44,127.5401169,Cauliflower
81,86,47,14.85287604,85.23097366,6.07,126.3998002,Cauliflower
92,73,51,16.96760128,88.30312525,6.63,126.1469221,Cauliflower
99,69,54,15.80580062,82.69270577,6.63,122.2313602,Cauliflower
96,70,54,14.79246838,86.4944656,6.5,127.0021554,Cauliflower
91,70,50,17.4467086,85.91099088,6.65,132.1781025,Cauliflower
99,79,47,12.68041711,88.2180219,6.74,129.1144707,Cauliflower
65,87,52,16.28442894,89.46594745,6.83,122.7468347,Cauliflower
95,73,46,16.60730126,88.59502089,6.86,130.0625976,Cauliflower
85,71,45,15.38753951,80.47798482,6.64,133.9121163,Cauliflower
87,71,51,13.25240233,84.76457529,6.19,128.2130378,Cauliflower
83,66,46,15.48130524,80.84802036,6.33,127.0913997,Cauliflower
94,80,54,12.62774605,82.55784894,6.49,123.2280202,Cauliflower
61,73,49,17.88865245,89.6747983,6.75,131.9669679,Cauliflower
62,88,50,12.53424298,86.41374515,6.23,124.7405354,Cauliflower
99,86,45,12.15238623,89.2176363,6.11,133.036117,Cauliflower
97,90,46,16.15483006,86.77970584,6.09,120.9142258,Cauliflower
98,80,53,15.55872844,86.87199125,7.0,131.7002184,Cauliflower
67,87,54,13.20990958,86.88113731,6.65,120.0288904,Cauliflower
80,67,55,15.0508101,89.24993743,6.3,132.609567,Cauliflower
78,71,51,15.79020076,89.65310655,6.26,131.8915592,Cauliflower
86,80,47,15.84717914,89.05112392,6.48,133.9176934,Cauliflower
77,90,53,17.14031684,88.10528144,6.47,132.441751,Cauliflower
83,74,53,15.16708008,80.47532892,6.67,128.0751631,Cauliflower
72,83,46,12.60226971,85.02380442,6.99,133.0582164,Cauliflower
72,76,52,14.36331985,89.50801854,6.19,129.4845388,Cauliflower
73,86,47,15.99989263,82.80325001,6.22,132.730689,Cauliflower
63,84,55,14.69921881,87.84068038,6.59,129.0710803,Cauliflower
100,71,48,14.59257707,81.8121146,6.36,131.6739762,Cauliflower
83,83,46,15.15204175,83.58265277,6.78,128.6613948,Cauliflower
97,75,54,15.19092655,87.13244389,6.12,132.0473498,Cauliflower
60,66,54,17.46593949,84.83468853,6.11,134.0636824,Cauliflower
76,68,52,17.98768071,87.86832361,6.17,129.2504667,Cauliflower
61,69,51,15.9394496,81.08749856,6.13,128.7152058,Cauliflower
67,71,49,12.62333788,84.78749509,6.19,132.39817,Cauliflower
67,68,49,13.86360726,87.02474689,6.06,128.745025,Cauliflower
88,74,48,13.02066276,86.35293839,6.01,132.4090342,Cauliflower
71,77,54,13.35505082,84.16118223,6.84,131.6688552,Cauliflower
72,70,47,14.25138951,81.04677643,6.82,127.3122962,Cauliflower
94,66,47,12.60360908,89.66015608,6.95,130.1519985,Cauliflower
80,82,53,17.55626545,80.25183179,6.73,134.4600993,Cauliflower
67,90,55,17.52375714,86.06603639,6.05,128.9087064,Cauliflower
78,82,50,17.04002516,84.90055603,6.15,121.7940931,Cauliflower
82,76,55,14.04406913,82.63475308,6.64,122.1484956,Cauliflower
83,89,55,12.57028273,85.32059936,6.25,122.4872203,Cauliflower
71,89,49,12.50291866,82.67904501,6.63,121.7689632,Cauliflower
61,79,49,13.95254355,86.60350141,6.82,121.0174845,Cauliflower
71,83,49,12.56994001,89.11964073,6.94,126.5237265,Cauliflower
86,86,53,17.59528606,86.05042225,6.89,133.6761844,Cauliflower
73,90,51,12.96740744,89.79305487,6.36,120.4636807,Cauliflower
83,68,55,16.72408283,82.99156471,6.76,134.9125147,Cauliflower
68,69,45,15.69882019,85.54953789,6.05,127.2497104,Cauliflower
80,72,55,12.19299566,87.36158449,6.77,120.334168,Cauliflower
71,78,51,14.40009722,82.89324355,6.3,121.4547617,Cauliflower
70,75,52,12.16389432,82.5712872,6.29,128.2959073,Cauliflower
83,88,55,17.95068576,82.29901828,6.13,126.3808691,Cauliflower
93,67,50,17.7815165,86.26925839,6.35,127.3425316,Cauliflower
62,87,52,14.02318643,89.61695481,6.87,132.2801039,Cauliflower
61,76,46,17.54343101,88.5954589,6.46,131.3068119,Cauliflower
93,76,47,17.72956953,83.67775175,6.36,127.5213275,Cauliflower
85,73,51,13.03894423,88.40412913,6.81,120.8345859,Cauliflower
93,88,45,17.39399859,83.84571622,6.99,129.6927966,Cauliflower
79,73,54,12.86976359,89.70438883,6.32,127.5570834,Cauliflower
89,68,55,15.41298457,80.59601204,6.11,125.7978492,Cauliflower
70,70,55,13.85208019,81.70511819,6.13,124.686753,Cauliflower
93,82,52,15.42709015,83.46331717,6.86,131.2042947,Cauliflower
72,90,47,12.72705839,81.45187821,6.44,121.8320717,Cauliflower
94,80,49,15.54236318,85.70845998,6.52,121.3835453,Cauliflower
85,86,45,14.35708488,89.03096719,6.7,122.6845413,Cauliflower
95,75,53,12.78180537,83.55358314,6.96,132.1731693,Cauliflower
94,73,52,16.55467172,87.8425958,6.94,120.5765618,Cauliflower
91,71,47,15.9817487,80.86594268,6.86,120.3030638,Cauliflower
76,89,50,14.55772985,87.92760957,6.72,120.461878,Cauliflower
64,79,55,15.2586266,85.80717612,6.33,130.041304,Cauliflower
45,61,84,19.37856529,67.19111593,6.66,714.5230414,Cucumber
63,80,90,22.84466819,76.08758821,6.69,772.1887086,Cucumber
49,78,80,20.24888725,67.35927093,6.24,759.2834938,Cucumber
63,80,87,18.83158257,78.15375663,6.93,898.2835533,Cucumber
66,74,80,23.86193673,60.99705352,6.19,718.2006944,Cucumber
47,70,80,19.21557466,75.94465057,6.22,794.6687343,Cucumber
70,63,88,21.70204286,62.09450935,6.61,865.392897,Cucumber
80,67,82,19.68808358,74.26196409,6.61,723.5261537,Cucumber
69,57,81,18.89991341,66.98969329,6.1,743.8577915,Cucumber
69,78,85,18.1599852,76.56041875,6.21,727.3303644,Cucumber
48,66,83,20.18109203,63.50948129,6.12,700.0110751,Cucumber
72,57,90,20.89148414,64.59387663,6.52,719.978775,Cucumber
68,70,86,23.83846755,69.83323275,6.12,775.8451516,Cucumber
41,71,90,18.29002576,63.68186295,6.65,783.6689647,Cucumber
54,55,80,21.23276722,67.5686826,6.97,715.3175552,Cucumber
77,65,90,20.20640992,68.72952268,6.35,822.7992779,Cucumber
62,61,88,18.32787037,75.73600728,6.44,837.3997264,Cucumber
69,79,81,18.80279525,76.14582778,6.86,869.2153411,Cucumber
41,63,81,18.82317183,73.8353154,6.34,854.6665013,Cucumber
68,69,86,19.22745153,67.89787847,6.08,776.1622728,Cucumber
41,67,89,20.35002467,78.65865786,6.21,707.3036277,Cucumber
57,59,89,18.40112117,72.77861266,6.48,802.5099295,Cucumber
61,69,80,19.73081928,73.30071287,6.05,832.5553474,Cucumber
72,80,80,18.19258448,69.08626263,6.15,837.4443769,Cucumber
60,73,88,23.66050497,75.55056481,6.95,882.1948452,Cucumber
63,57,85,20.96370103,64.15139861,6.93,713.9685904,Cucumber
79,61,89,20.03983187,79.20089062,6.68,806.9533263,Cucumber
47,72,85,22.73298387,61.30756217,6.84,828.2339556,Cucumber
42,66,86,20.62604646,74.55474002,6.81,765.6027001,Cucumber
42,57,90,20.52753938,61.54499849,6.79,820.1130411,Cucumber
58,61,85,20.99085636,74.58890753,6.06,755.9046237,Cucumber
79,57,86,18.48530015,62.88327067,6.5,861.5270734,Cucumber
77,77,83,22.93347411,71.55997157,6.52,784.9303148,Cucumber
55,62,90,18.97727986,71.44537502,6.62,710.6872275,Cucumber
49,74,88,23.28460295,77.57921851,6.87,882.2867275,Cucumber
78,57,81,19.85180246,68.13400104,6.27,809.8071427,Cucumber
64,72,82,20.29473057,74.96836178,6.83,882.6853667,Cucumber
78,79,90,23.76865367,64.38039246,6.02,859.9561291,Cucumber
40,60,86,18.03242223,76.75536332,6.81,871.537085,Cucumber
61,77,90,19.69461509,61.4403464,6.12,737.0444101,Cucumber
76,63,87,22.66489467,61.68781323,6.06,846.6971451,Cucumber
63,80,87,19.92138712,76.29438175,6.54,806.9769637,Cucumber
61,78,81,22.0588411,67.22757648,6.47,722.7148683,Cucumber
44,60,90,21.04189077,69.69290941,6.62,877.1499376,Cucumber
41,79,81,23.92915243,61.18285097,6.7,774.4262804,Cucumber
42,58,89,19.73166762,68.08370266,6.17,819.1209536,Cucumber
50,60,82,18.14131887,60.95202395,6.92,840.8429397,Cucumber
61,61,84,18.18875201,72.29138428,6.39,741.2224385,Cucumber
51,62,83,20.58427825,69.30680013,6.94,807.4781004,Cucumber
51,66,85,18.43620508,65.41116757,6.08,886.447836,Cucumber
63,67,85,22.94919227,73.81627216,6.48,710.9613932,Cucumber
49,57,83,20.792176,71.93892924,6.47,885.0468409,Cucumber
64,71,88,18.73299184,76.2734238,6.52,770.6354963,Cucumber
65,71,89,23.32050349,79.09510852,6.94,818.4606116,Cucumber
45,57,85,18.70259718,79.36281472,6.21,770.0668587,Cucumber
65,71,80,20.12235805,67.96031731,6.81,823.1328843,Cucumber
69,67,82,22.59563902,73.73251255,6.05,766.2955927,Cucumber
67,56,89,18.93539921,69.15427955,6.18,776.9872932,Cucumber
43,60,87,21.36879056,77.59049526,6.22,735.991253,Cucumber
43,66,85,19.93465151,66.67574903,6.79,832.7366066,Cucumber
51,62,83,18.546671,69.57608765,6.43,741.024275,Cucumber
55,55,87,21.65985373,69.40102398,6.61,882.8023866,Cucumber
78,66,81,21.16249315,71.28716842,6.13,726.1400582,Cucumber
54,61,84,20.27268047,62.85877595,6.2,824.9717546,Cucumber
41,56,87,19.30426262,75.58319195,6.69,700.3681304,Cucumber
61,57,87,18.21080764,76.12921994,6.57,884.700409,Cucumber
68,75,89,18.09152996,78.88354633,6.05,733.9361939,Cucumber
51,80,85,23.43483959,71.30361149,6.26,744.3630336,Cucumber
53,77,81,20.2417953,61.04434155,6.97,817.1714024,Cucumber
43,64,88,18.07508122,72.26516714,6.43,726.9596905,Cucumber
43,76,89,21.32092889,79.64814374,6.1,709.7537646,Cucumber
70,64,85,22.16590683,62.10675302,6.34,722.928382,Cucumber
45,72,82,19.18704357,63.59172778,6.19,843.9919477,Cucumber
68,68,85,23.90945048,61.92025716,6.77,825.7506304,Cucumber
66,61,90,22.35918016,77.17769356,6.09,721.4308059,Cucumber
79,68,83,19.8748025,64.43944969,6.66,705.5536198,Cucumber
60,74,85,22.01462643,71.66211203,6.54,816.1752039,Cucumber
75,69,86,23.20377392,67.71554012,6.25,854.1201062,Cucumber
79,65,83,21.40415308,78.5157269,6.47,766.338568,Cucumber
47,75,89,19.56260309,62.94771269,6.88,766.5355464,Cucumber
43,57,85,18.89437018,79.79951222,6.08,805.0255425,Cucumber
76,55,85,19.88842012,64.62307031,6.46,836.6364666,Cucumber
44,55,83,18.61459104,63.75818397,6.66,719.4326447,Cucumber
52,56,89,18.30358152,69.30061907,6.72,867.8588328,Cucumber
48,57,84,21.84806259,70.32739439,6.11,853.7965787,Cucumber
68,71,88,23.81449881,74.68133948,6.29,874.4836664,Cucumber
73,68,87,19.38934115,62.33717911,6.17,729.9930373,Cucumber
45,77,81,18.20693011,65.45189117,6.77,862.6243269,Cucumber
41,55,86,18.09909626,74.28163131,6.43,831.1936203,Cucumber
68,72,86,23.21307169,69.03513692,6.58,876.0452331,Cucumber
53,77,84,19.78227312,76.5587553,6.0,702.7879658,Cucumber
42,56,81,20.52827331,66.62664155,6.88,898.123774,Cucumber
75,65,84,20.13315291,76.54882795,6.26,813.7737929,Cucumber
52,77,89,20.75720516,71.24190623,6.72,808.3538258,Cucumber
52,79,87,22.37587609,76.40391279,6.67,704.1730495,Cucumber
46,79,87,19.82377367,74.42075909,6.43,759.2853288,Cucumber
80,72,81,18.6830028,64.4639601,6.1,798.3264087,Cucumber
56,70,87,23.88214252,72.04150666,7.0,792.7469107,Cucumber
45,64,81,21.50726591,71.44896671,6.96,863.3577182,Cucumber
75,76,89,21.07047542,61.9887608,6.41,756.1370625,Cucumber
21,22,9,52.52442826,75.91443319,6.49,2936.203115,Drumstick
22,30,5,60.08393394,70.72329315,6.46,405.3428572,Drumstick
34,18,15,50.46253147,73.105833,6.98,1778.291352,Drumstick
52,16,7,62.37775336,75.63532798,6.82,2263.039438,Drumstick
25,36,12,78.480001,72.44381926,6.41,941.0821017,Drumstick
27,24,15,53.53368622,79.17941251,7.0,689.3017583,Drumstick
48,30,13,62.1996551,76.54080542,6.93,721.603246,Drumstick
43,16,10,73.27869281,75.66498413,6.64,1852.11115,Drumstick
29,39,13,58.52337501,72.45001818,6.98,1731.72496,Drumstick
25,18,12,52.38349699,75.74332477,7.0,1653.797191,Drumstick
53,29,12,51.98068294,75.46914535,6.56,2725.127246,Drumstick
52,16,11,59.21611366,73.06105475,6.42,712.776379,Drumstick
48,20,9,58.69844104,71.91224647,6.23,2066.511673,Drumstick
46,29,14,54.68521871,75.00303854,6.02,2348.178125,Drumstick
55,20,8,56.90141357,70.31626728,6.8,1041.94349,Drumstick
39,19,6,58.63138394,76.17470481,6.25,2543.355908,Drumstick
36,25,13,65.3471907,77.31425061,6.57,761.8815902,Drumstick
52,27,13,57.40646923,70.77735144,6.04,2899.31921,Drumstick
34,35,10,55.07864767,78.39501789,6.25,1701.688313,Drumstick
35,39,6,65.27993971,72.90769378,6.68,610.3575411,Drumstick
56,22,5,60.71188741,74.84729937,6.53,1339.243315,Drumstick
54,30,5,71.61191534,77.04331592,6.41,2968.215217,Drumstick
52,28,6,64.58933138,75.95205095,6.62,1414.370089,Drumstick
43,39,6,66.72978372,72.72285426,6.68,2358.372657,Drumstick
33,37,12,78.95039207,75.76039971,6.13,754.6322305,Drumstick
26,34,7,54.10416695,71.50684064,6.15,2845.36153,Drumstick
59,25,13,63.95007029,71.97481208,6.1,2667.196633,Drumstick
32,19,11,67.13367975,78.22345912,6.77,991.1736262,Drumstick
44,20,8,57.95738436,75.20582159,6.71,1324.657277,Drumstick
58,25,9,58.05682815,75.92780596,6.75,2335.858016,Drumstick
58,39,10,77.65202492,71.01955353,6.53,2429.45559,Drumstick
33,37,15,72.88977239,78.12069029,6.7,716.9382974,Drumstick
44,24,10,61.41710929,73.33207799,6.83,1337.036421,Drumstick
23,21,11,53.6759525,72.78730219,6.67,490.8321544,Drumstick
25,16,11,75.85044163,70.06743087,6.35,1769.653933,Drumstick
50,18,12,65.00549487,71.90783047,6.26,822.6512685,Drumstick
48,23,9,71.36915115,78.79102084,6.54,438.50064,Drumstick
53,39,12,68.04114736,78.18023702,6.76,2563.565225,Drumstick
25,33,14,77.43613087,78.63524635,6.9,878.3578008,Drumstick
56,18,6,55.78865128,76.38718446,6.58,2877.520687,Drumstick
53,18,11,78.57266137,70.40478444,6.93,1020.803024,Drumstick
21,19,6,58.37760286,74.00934657,6.64,1733.804136,Drumstick
56,21,5,56.61739673,75.28420139,6.9,297.0847848,Drumstick
40,31,12,59.07669444,77.85259204,6.89,271.8949111,Drumstick
30,34,14,79.57276612,73.08277475,6.66,2277.597648,Drumstick
32,31,7,70.50430249,70.5957894,6.99,1439.129638,Drumstick
60,38,5,73.8212507,77.09335298,6.91,383.0026033,Drumstick
35,19,15,77.73129742,70.3655389,6.48,491.5432379,Drumstick
27,25,15,65.74546268,71.46813233,6.83,604.528524,Drumstick
29,26,14,54.73292759,74.17120218,6.37,2207.974777,Drumstick
22,22,6,68.80238529,78.18713236,6.91,2214.782758,Drumstick
55,27,14,72.14585228,72.95295647,6.29,429.6564059,Drumstick
46,40,8,54.36345695,75.79714113,6.86,1988.784734,Drumstick
31,28,14,59.10142338,78.68926451,6.82,837.8651126,Drumstick
31,31,14,77.04103167,71.13206125,6.4,1197.214626,Drumstick
56,32,8,75.79716692,72.48586157,6.52,891.1965656,Drumstick
43,18,10,72.08163864,79.34169095,6.03,1556.9891,Drumstick
37,33,10,62.81569265,76.43770839,6.74,2552.490724,Drumstick
32,29,6,51.78004236,70.01860477,6.23,862.2607858,Drumstick
36,29,15,68.08362918,70.21250633,6.18,2633.419748,Drumstick
28,29,8,53.08969972,72.68831215,6.03,768.1153482,Drumstick
56,18,15,62.75366006,72.17342508,6.02,1030.457566,Drumstick
20,37,5,67.40023483,78.27211838,6.85,766.9843422,Drumstick
59,25,15,76.59265738,72.67455905,6.29,2305.994609,Drumstick
32,40,9,54.57495603,75.9031818,6.53,2751.046495,Drumstick
26,16,8,66.7386183,70.12163719,6.62,2589.946647,Drumstick
23,20,6,69.50377162,72.31387908,6.59,597.8652894,Drumstick
58,39,10,77.07684253,77.4753936,6.7,1372.857117,Drumstick
22,32,9,54.19914257,75.09019943,6.84,2873.276723,Drumstick
35,24,12,58.65211249,79.98087343,6.01,1301.462031,Drumstick
45,25,12,56.04804587,76.94761468,6.25,615.2070354,Drumstick
46,37,8,52.59007643,72.11708057,6.91,1111.125063,Drumstick
54,33,10,55.2481588,73.24773877,6.67,700.9649075,Drumstick
58,19,15,52.8194989,70.88589801,6.45,2931.824443,Drumstick
35,38,11,66.8850876,73.87106043,6.53,540.9717166,Drumstick
44,27,12,50.68496771,75.76709313,6.61,1392.786861,Drumstick
39,30,9,75.2194985,76.96065114,6.17,652.4223844,Drumstick
22,16,11,54.13311983,75.98882461,6.61,1603.687186,Drumstick
54,24,8,64.13079312,72.63898344,6.8,2474.314757,Drumstick
57,39,11,75.96516837,77.00858677,6.47,2452.63134,Drumstick
52,23,7,78.61605915,71.40590005,6.35,360.8784589,Drumstick
32,30,5,56.50949046,76.74496309,6.9,2741.416668,Drumstick
47,25,9,64.16733356,79.54608381,6.7,352.5740057,Drumstick
21,36,13,78.50133499,78.10883645,6.61,737.8541162,Drumstick
32,34,14,69.53068304,74.97099491,6.38,2686.190185,Drumstick
21,23,5,74.85513592,77.88145055,6.15,2397.506517,Drumstick
38,16,11,56.73411914,76.85303265,6.73,784.9786354,Drumstick
37,25,10,56.38050004,79.29636308,6.38,2095.151722,Drumstick
33,38,9,69.83015877,77.79263972,6.69,1157.071082,Drumstick
38,27,13,65.92965063,79.42843448,6.11,2695.459681,Drumstick
51,22,10,57.82588265,78.51341226,6.47,882.1549844,Drumstick
58,28,9,60.52090666,72.86098449,6.09,1403.224054,Drumstick
39,25,5,56.05392413,76.42011974,6.81,1045.572727,Drumstick
55,27,9,53.00875218,75.79675407,6.77,2797.768636,Drumstick
45,15,11,61.56053346,79.67209799,6.59,2178.829951,Drumstick
47,15,6,79.76327673,73.83359967,6.9,2394.015065,Drumstick
56,27,10,54.74564077,79.2307377,6.49,896.4578047,Drumstick
60,15,12,66.56901702,72.71641949,6.13,775.2942558,Drumstick
30,40,5,64.68041316,76.66597889,6.51,2573.021718,Drumstick
21,18,8,52.17363743,79.56346758,6.22,1951.11941,Drumstick
109,57,62,22.22223305,67.78695438,5.62,720.5724212,Onion
113,57,62,24.78313595,65.69997295,6.1,739.7259183,Onion
107,77,61,25.93231216,69.92392375,6.24,671.5024338,Onion
100,76,62,25.44022064,68.39032922,6.28,744.1551873,Onion
103,55,63,24.12639823,69.27468772,5.93,707.3463583,Onion
135,77,64,24.96494611,65.32101955,5.57,702.1949619,Onion
116,76,61,23.66488721,66.33120862,5.74,661.859394,Onion
101,71,62,22.6844597,66.08906951,5.98,741.1912726,Onion
130,55,66,22.91726306,67.2814463,6.21,682.4003506,Onion
119,69,70,25.81659889,69.69945259,5.96,664.1467695,Onion
107,68,65,23.96677226,65.08809129,5.69,650.9740667,Onion
114,56,69,23.21748895,68.88897206,6.45,736.5384204,Onion
135,55,70,24.91055074,66.42887512,6.08,696.9442518,Onion
122,67,61,22.1935307,67.46734582,6.2,743.9540642,Onion
121,68,69,23.39396893,66.62287674,6.21,659.2546882,Onion
111,66,67,23.37522201,65.19594266,5.99,722.2299564,Onion
117,59,63,25.1906099,65.26302865,5.71,651.6601864,Onion
134,66,68,21.53099356,67.8802979,6.38,701.9285229,Onion
108,76,69,25.29004044,69.87678842,6.38,736.8294563,Onion
118,66,65,21.63029728,67.663876,6.27,748.1269987,Onion
114,67,70,21.13852825,68.10628242,6.31,681.428187,Onion
100,63,62,21.30507192,67.42469908,6.23,693.3543908,Onion
117,59,69,22.66465275,68.17006644,6.09,741.7722833,Onion
133,74,70,22.17982687,65.40985428,6.3,651.1525949,Onion
131,79,62,25.9612337,66.77651962,5.93,705.4057809,Onion
101,62,69,21.83533815,65.35143867,5.84,747.3256281,Onion
111,61,61,24.48332233,69.73923923,6.03,727.7125964,Onion
132,70,60,25.95957728,67.60476764,5.91,688.2926945,Onion
140,78,61,25.25362225,67.08977038,6.15,731.6591121,Onion
119,73,67,22.93072619,65.61562327,5.76,748.0102335,Onion
137,63,63,23.4036685,66.32116393,6.29,746.218649,Onion
102,62,69,22.95068376,68.98066327,6.27,694.3527132,Onion
106,71,66,25.94120881,66.65901732,5.73,670.3709531,Onion
114,78,63,24.45120419,65.5800071,5.93,729.7143294,Onion
119,57,66,24.03540935,65.60847671,5.77,698.741354,Onion
109,70,63,22.77107561,69.50930073,5.65,709.2634399,Onion
111,74,70,21.89737994,67.46445505,6.12,685.9758902,Onion
109,62,61,22.09364927,68.51502567,6.26,679.0407401,Onion
115,65,70,22.88537608,66.67150329,6.22,666.2494054,Onion
118,76,62,25.28090919,66.34315716,5.9,699.8232162,Onion
115,61,64,23.54660053,68.29411721,6.28,711.9089859,Onion
127,62,68,25.46712794,67.08589514,6.34,655.1188716,Onion
118,76,67,22.82975648,66.3779343,6.17,730.0793311,Onion
114,64,65,23.40070147,69.15602524,5.93,671.5526743,Onion
126,66,64,21.2237263,68.64777056,6.14,708.4384547,Onion
137,57,61,22.56306653,67.4005923,5.53,705.8514451,Onion
111,73,61,23.16912652,66.40912419,6.39,650.9103697,Onion
130,55,66,25.03904862,69.84789912,5.78,712.6009017,Onion
132,60,70,24.22722707,66.82102118,5.72,716.0961737,Onion
111,74,60,24.73964479,66.99748483,5.75,736.776126,Onion
114,80,64,22.95004396,67.28616275,5.79,695.0219821,Onion
100,68,70,22.45667642,69.24145144,6.22,747.0749446,Onion
124,62,62,25.68500703,67.42470189,5.54,679.1561673,Onion
